x,y
145,163
162,163
148,162
164,163
144,163
161,165
135,162
158,163
133,160
162,160
148,163
166,168
128,164
159,167
140,165
152,168
141,163
165,166
140,160
164,164
145,162
164,167
146,164
163,165
145,164
167,167
145,162
164,164
148,162
165,165
148,163
163,164
143,166
160,166
142,162
160,164
142,162
161,164
141,162
172,166
144,164
167,166
138,167
173,169
148,169
163,169
145,162
171,168
135,165
162,167
140,166
163,166
140,163
168,164
143,165
162,168
141,168
166,167
145,166
169,168
142,166
169,166
149,166
165,166
143,166
163,166
141,163
169,165
148,165
165,165
147,165
177,164
151,165
165,165
149,166
165,166
147,166
168,167
148,169
167,167
151,166
168,166
153,166
169,166
156,166
168,165
141,162
166,162
145,162
167,164
148,164
167,164
143,164
163,164
145,165
165,166
146,166
167,167
145,161
168,166
147,163
166,165
148,162
167,168
149,163
166,167
147,166
167,166
146,165
166,165
138,160
169,168
144,164
165,168
144,160
168,167
145,162
172,166
142,162
163,164
143,160
172,163
143,158
171,166
148,159
166,165
144,164
168,167
140,165
164,166
145,161
168,166
151,164
170,169
149,165
169,166
150,165
164,164
148,163
164,166
147,163
163,163
155,164
173,164
157,166
174,168
148,160
164,166
151,163
167,168
152,164
163,164
150,163
170,165
150,161
167,163
152,161
170,165
147,164
165,164
151,164
166,164
147,164
176,160
158,163
172,165
144,160
168,168
149,163
171,170
148,165
168,167
149,168
175,167
153,165
168,168
156,164
166,165
150,163
176,168
157,166
173,167
155,164
109,117
120,120
114,123
121,124
116,118
118,123
116,119
123,119
116,115
119,115
117,117
116,119
108,119
121,120
116,118
122,121
120,118
122,121
123,117
120,123
124,121
120,123
112,120
125,124
118,121
120,124
116,120
124,121
116,121
123,121
117,118
123,118
117,119
122,119
119,120
122,121
114,119
120,120
115,119
119,119
114,120
131,121
115,116
130,120
119,116
129,116
118,118
126,119
116,118
125,118
118,118
127,119
118,119
125,119
116,120
124,120
120,119
129,119
119,119
125,120
119,120
87,125
110,116
125,121
118,120
123,120
116,120
127,120
114,119
128,119
114,117
118,113
110,126
119,127
117,124
117,119
116,118
119,126
117,122
128,121
118,122
128,124
116,121
125,121
118,120
123,120
116,123
123,121
119,122
123,123
116,122
122,122
114,122
124,120
115,124
123,122
118,123
122,123
113,119
121,121
114,119
120,121
113,120
120,121
115,120
122,121
111,121
118,122
112,122
118,124
114,124
