x,y
58,80
69,80
64,75
74,81
66,79
77,81
74,76
73,81
61,76
79,80
64,72
77,77
64,72
81,74
63,72
74,75
75,76
61,79
62,75
74,83
64,77
72,72
65,75
75,80
66,78
70,82
67,80
71,82
66,83
62,78
65,83
61,78
70,76
67,76
63,79
65,78
71,75
67,82
65,75
60,80
68,81
64,77
75,75
61,72
71,72
62,70
65,73
67,77
63,74
72,80
68,75
64,70
76,74
69,76
63,77
65,77
73,78
72,76
68,78
66,78
64,77
71,80
65,80
65,73
62,79
67,75
65,76
60,81
64,80
64,75
61,78
66,75
60,77
69,78
70,73
63,76
61,75
62,76
65,75
61,83
68,74
65,81
69,76
60,76
65,78
63,82
66,81
76,85
67,82
58,74
68,81
61,79
64,78
72,69
58,69
79,80
68,70
64,67
66,76
64,71
67,74
73,84
67,72
67,67
62,67
71,80
68,76
59,65
67,76
58,74
67,70
65,69
71,74
68,70
68,71
65,70
64,71
64,71
62,69
62,69
67,71
64,68
68,72
64,67
67,70
65,72
68,69
65,66
65,68
64,67
66,68
65,68
68,71
65,68
69,71
65,68
69,71
66,69
68,71
67,70
69,71
66,68
69,71
68,71
69,71
67,70
68,71
65,68
68,71
65,73
71,68
66,67
65,74
67,67
73,73
69,69
68,67
67,70
67,65
67,65
66,66
67,70
68,71
68,67
71,69
65,70
67,70
66,66
71,69
69,70
66,67
67,68
69,70
66,74
70,71
67,72
68,72
73,76
68,70
71,75
64,71
70,74
64,71
69,72
66,71
64,71
67,76
69,73
65,79
69,79
65,73
71,79
63,78
70,76
69,80
68,77
70,73
73,78
79,77
74,81
69,76
70,84
70,78
71,77
66,76
73,75
67,82
72,77
60,76
74,72
72,69
62,71
76,68
65,72
68,70
72,68
68,66
64,71
60,67
61,67
50,70
65,71
54,71
63,70
50,76
57,78
68,73
70,77
55,72
71,75
60,73
62,65
62,70
61,72
60,77
63,70
69,79
64,68
73,70
62,74
71,74
69,68
69,78
67,69
70,77
62,68
68,77
65,64
74,68
66,66
70,70
69,70
62,70
70,74
63,70
71,77
65,72
69,72
65,67
73,72
71,80
71,64
70,75
62,81
60,79
62,78
64,78
65,78
65,79
65,79
67,76
58,74
64,78
65,75
64,75
74,83
71,72
67,73
69,73
69,70
66,73
63,77
69,72
67,75
62,71
68,80
62,73
58,78
62,71
63,72
65,75
55,65
60,74
62,76
68,80
73,62
69,64
66,71
61,69
63,64
62,65
65,68
65,66
69,72
66,66
61,74
71,78
64,75
70,68
63,69
60,80
69,70
59,74
70,71
63,82
66,80
61,77
71,75
61,79
73,73
70,70
68,76
66,73
60,71
62,79
59,73
66,67
68,77
65,73
68,72
65,74
66,76
66,75
71,78
71,69
64,69
61,72
66,74
60,73
66,67
68,74
68,71
76,71
69,70
66,72
63,72
66,74
60,69
73,73
64,68
70,79
68,69
65,71
66,78
71,72
61,73
69,70
62,76
72,62
70,79
66,74
67,71
65,71
62,72
71,75
67,67
59,71
65,70
65,73
63,72
70,71
69,68
68,68
73,73
61,68
73,66
67,75
71,70
58,65
63,72
61,70
73,62
68,70
69,67
72,70
67,65
70,70
67,70
70,66
66,67
73,66
65,69
68,62
65,65
72,66
62,62
71,71
58,71
70,70
71,74
63,68
58,61
65,63
64,62
69,67
52,64
59,64
67,70
71,68
70,71
58,71
70,74
63,73
70,71
66,71
67,66
65,71
69,72
57,78
65,69
65,73
72,71
63,67
68,73
63,72
69,67
67,70
68,68
69,74
72,66
67,67
68,74
64,69
57,65
70,63
73,61
69,60
61,69
64,67
60,62
65,68
57,67
74,65
68,65
60,64
72,67
57,68
74,63
52,65
57,68
56,64
64,65
68,65
74,62
68,71
63,67
72,70
69,68
68,77
65,73
63,74
74,63
76,67
64,67
71,66
65,65
71,66
62,66
73,70
28,79
68,68
62,69
71,68
66,68
79,69
64,67
72,67
60,67
67,71
57,71
68,71
61,69
71,63
60,64
60,69
70,65
71,62
63,64
68,65
60,65
71,63
72,67
59,62
60,76
72,64
65,71
70,65
58,69
63,61
61,67
70,64
61,65
72,82
75,66
68,68
81,66
64,75
77,68
64,70
74,62
62,66
81,72
67,66
80,68
58,77
59,65
83,60
74,65
60,71
72,65
59,71
56,68
57,61
72,64
55,79
67,64
74,59
54,71
56,67
68,65
55,62
58,64
67,61
66,73
68,69
71,61
57,62
64,56
69,58
63,62
71,65
65,68
69,76
70,67
71,67
62,69
67,61
71,60
67,68
71,68
66,63
74,75
62,70
65,66
65,66
64,61
60,68
