pontaA,pontoB
38,48
41,54
40,53
39,49
54,45
48,47
47,45
41,53
40,49
48,50
45,47
37,49
37,50
49,52
44,43
39,52
44,50
52,49
43,52
40,47
41,52
39,50
43,53
43,53
42,49
44,54
47,52
40,47
37,50
44,54
44,50
42,61
48,52
50,50
50,54
42,47
33,41
49,44
45,54
45,52
44,47
40,46
48,43
51,44
44,47
54,44
45,43
53,45
41,47
48,45
49,46
49,45
47,51
52,45
43,47
45,42
47,48
47,49
39,39
44,45
52,47
47,48
49,46
48,46
51,44
51,50
52,48
48,43
50,46
51,52
50,47
45,42
47,44
46,44
49,47
47,41
49,47
50,43
47,53
52,50
47,47
52,51
53,49
47,49
54,40
55,54
54,55
50,44
35,40
57,57
56,48
54,52
59,52
48,41
52,45
53,53
58,48
52,38
53,44
48,40
57,59
54,50
55,40
61,46
56,56
56,45
72,54
55,42
54,56
71,53
47,43
54,47
51,49
58,53
71,56
56,56
61,56
52,43
70,57
50,42
52,47
51,42
52,47
52,47
48,35
52,47
46,33
33,33
39,36
48,43
73,55
46,41
54,49
52,46
55,53
51,52
59,58
55,54
58,49
69,55
43,42
70,66
59,70
75,74
56,76
81,77
57,79
81,77
60,75
80,74
54,75
77,76
55,76
76,75
56,75
77,74
60,75
77,75
56,74
80,71
58,72
75,75
57,75
81,77
57,74
79,73
57,75
79,74
59,74
81,71
58,74
79,75
57,75
80,75
57,75
83,74
59,74
93,76
63,75
100,73
60,68
84,72
52,74
79,72
59,74
79,76
54,76
79,74
57,74
77,72
55,73
80,81
56,75
79,76
51,73
83,79
55,74
81,73
54,78
83,73
58,76
80,78
61,78
82,75
55,73
80,77
57,77
76,74
58,75
76,76
59,76
77,75
56,74
82,75
59,74
80,76
57,71
79,76
59,73
80,76
57,74
80,77
55,72
79,75
55,71
80,76
55,72
81,75
54,70
79,77
54,72
80,76
54,72
73,76
55,69
80,77
56,74
78,75
52,73
80,77
54,74
80,75
57,70
79,77
58,71
83,74
57,68
81,75
58,74
82,79
57,72
79,78
54,71
77,72
58,70
81,76
52,71
82,76
59,71
78,73
52,74
80,75
53,72
82,74
51,76
76,75
49,76
77,76
52,73
79,77
49,70
74,75
50,73
77,75
54,73
82,82
57,80
76,77
50,69
77,75
48,70
77,73
51,73
79,75
54,72
79,77
53,71
79,72
54,68
74,69
54,70
77,70
52,71
79,77
50,70
77,74
51,70
82,75
47,68
80,75
51,68
80,74
49,70
82,76
50,73
79,73
53,69
83,75
51,71
80,77
53,68
81,77
49,71
76,74
54,70
82,79
52,71
75,78
48,68
81,78
49,68
79,76
49,70
80,78
51,67
80,79
48,70
79,75
46,72
73,76
43,66
76,67
42,68
77,76
43,70
74,73
42,69
73,76
42,72
73,74
43,70
72,75
43,68
76,76
44,70
72,75
45,70
74,74
44,68
74,76
44,71
75,75
42,67
71,73
43,69
73,74
40,71
73,74
42,72
73,76
43,72
72,74
45,75
74,73
46,71
71,72
43,69
72,70
45,69
70,76
45,74
70,76
48,72
70,75
46,75
74,73
39,72
73,75
39,72
78,73
42,71
74,76
42,67
74,76
45,73
73,76
46,70
79,74
44,70
72,72
51,72
78,77
44,72
69,73
45,69
73,76
45,69
74,76
45,72
74,79
42,70
70,75
45,69
71,74
44,69
69,69
33,69
65,72
37,72
67,72
37,67
68,75
39,71
67,69
35,69
63,70
36,70
65,76
34,64
66,70
38,67
69,72
37,67
63,71
38,68
66,70
36,68
65,73
34,66
63,73
38,70
65,72
34,69
68,73
33,68
67,74
34,70
68,71
35,69
65,71
35,71
69,76
38,67
66,74
37,69
63,75
34,70
62,72
38,68
66,71
32,67
67,72
35,69
63,70
36,68
67,71
33,68
73,74
35,72
65,73
37,70
67,74
34,73
65,77
34,70
65,73
37,71
65,72
37,73
61,73
40,71
57,76
38,70
68,72
33,63
72,76
33,65
62,68
31,69
65,67
43,64
66,70
32,64
65,71
35,67
62,68
30,64
61,64
40,64
66,68
37,66
66,69
39,69
58,72
37,67
58,72
39,65
66,71
33,66
60,67
31,65
63,71
35,69
64,73
37,68
66,68
35,62
61,70
41,69
59,71
42,69
66,69
37,67
59,71
40,69
65,70
38,66
67,69
39,71
60,71
36,65
62,71
36,68
65,67
42,63
65,68
39,68
59,68
36,65
63,67
36,65
61,66
35,68
59,69
37,68
63,68
32,70
64,72
35,68
66,69
37,64
62,68
37,68
64,69
39,70
62,68
39,68
64,68
36,68
62,69
39,69
59,69
40,68
67,67
48,67
65,69
42,70
64,68
39,68
65,69
41,70
67,70
46,71
61,73
40,70
67,71
40,68
64,68
43,69
71,67
42,68
66,69
46,69
71,72
41,68
82,71
48,70
73,71
43,65
70,71
37,71
71,67
42,71
69,69
41,68
68,71
43,68
67,71
38,69
63,71
39,68
72,70
47,68
74,68
44,67
70,69
50,69
67,67
45,69
63,73
40,69
68,72
48,71
66,71
45,66
64,73
42,72
63,72
40,68
65,70
42,70
72,67
41,70
70,68
42,66
70,71
40,68
73,69
40,70
73,70
45,69
69,73
45,69
72,69
47,68
67,67
44,68
77,70
52,67
73,69
48,67
74,71
51,69
75,70
52,66
77,68
50,69
78,70
49,70
75,70
49,66
76,65
49,67
70,67
48,66
78,66
51,68
72,69
53,69
72,69
46,66
76,64
47,67
71,68
51,71
72,68
53,69
71,70
48,71
73,71
48,68
75,70
49,69
77,67
52,69
68,68
53,68
66,68
48,68
70,74
52,74
76,73
57,70
69,71
53,72
77,73
48,75
78,68
44,64
75,76
51,68
79,69
49,68
71,68
54,69
68,71
53,68
69,69
53,68
70,70
52,69
70,70
51,68
70,71
48,71
72,69
46,70
68,70
47,67
75,70
54,65
75,71
50,69
69,71
42,67
69,66
53,68
75,69
57,68
75,72
51,68
75,69
50,72
74,72
53,66
75,70
56,70
71,70
51,67
73,67
58,65
80,71
50,68
79,73
55,69
73,71
57,71
72,71
60,71
74,71
54,72
76,72
52,66
74,70
61,68
82,72
54,69
76,73
56,70
76,73
53,70
77,69
58,67
78,70
56,70
78,70
58,69
77,70
56,70
81,72
51,68
74,66
56,66
78,69
55,66
72,67
53,68
73,67
55,70
76,70
57,67
78,68
54,73
75,69
62,69
79,69
51,65
73,72
52,69
