x,y
60,71
68,77
63,72
66,74
70,74
58,69
62,73
70,71
63,70
69,70
58,72
68,74
62,68
71,73
60,70
71,75
67,74
53,71
55,69
64,75
70,69
56,72
59,71
63,75
55,72
68,76
71,75
58,71
58,72
72,75
72,78
55,71
56,72
69,72
54,68
66,72
53,67
67,78
52,72
65,76
57,76
78,72
63,67
71,80
55,71
67,76
66,75
58,72
59,70
67,76
59,72
65,78
52,70
62,75
56,72
68,77
59,72
65,75
66,73
60,75
62,71
68,76
55,73
56,73
62,67
66,72
60,71
70,75
64,70
63,76
59,74
58,72
62,71
56,72
58,74
62,70
58,69
66,67
67,71
54,70
62,73
61,74
57,68
58,71
56,69
63,72
68,76
54,70
60,74
55,72
57,73
62,74
59,73
62,74
55,71
58,70
58,72
66,80
58,74
54,72
63,73
62,73
58,72
57,71
58,69
63,74
58,69
61,70
60,73
54,70
60,74
62,75
57,73
64,73
57,70
66,74
57,70
64,70
61,73
63,73
54,71
64,78
54,76
59,74
52,70
59,76
59,73
60,75
50,74
52,73
56,77
54,80
52,74
59,76
57,78
57,76
50,75
53,79
56,76
54,73
53,78
52,72
54,75
50,73
56,73
58,75
56,78
66,72
50,74
60,76
50,78
69,74
57,72
72,72
50,78
67,73
57,70
66,74
54,76
62,76
58,71
61,74
54,69
68,73
55,70
63,74
51,70
70,78
56,76
62,75
50,71
68,74
60,75
64,75
57,77
62,70
57,74
58,71
57,75
60,71
56,77
59,72
57,72
60,73
51,76
66,78
54,71
62,80
57,77
61,76
52,78
65,72
54,75
62,77
61,76
63,72
58,72
56,75
56,73
56,73
61,74
61,80
59,78
53,77
59,75
55,77
54,71
51,71
52,77
56,73
48,74
55,74
56,71
76,81
59,74
59,71
57,70
57,63
54,73
57,79
58,70
58,72
54,75
55,75
56,71
56,75
56,74
61,74
62,73
61,73
64,77
61,71
62,72
63,74
62,73
67,78
59,73
65,73
57,77
71,81
69,80
67,79
62,77
57,73
60,76
60,76
62,75
64,76
66,80
63,71
62,74
58,70
61,73
61,71
66,78
59,69
64,74
62,75
68,81
59,69
67,71
57,67
71,74
61,68
67,75
61,73
67,75
62,72
66,74
65,74
62,76
56,73
62,76
55,70
65,79
57,73
65,79
59,75
68,78
58,72
72,84
58,74
56,73
67,80
61,73
68,76
59,73
70,81
62,72
71,83
63,67
69,79
60,74
70,80
60,77
69,75
62,74
65,74
58,72
70,78
57,70
65,79
59,74
66,76
61,74
69,79
58,72
58,70
67,79
57,75
69,79
72,79
61,71
73,76
61,71
71,79
58,71
71,81
62,72
61,69
70,73
72,81
59,67
62,75
70,76
71,77
61,73
68,73
72,75
67,70
74,79
62,74
71,79
57,67
62,69
71,74
55,69
71,73
73,78
59,67
69,72
62,72
69,73
60,70
75,84
62,72
62,72
67,77
71,81
63,71
71,76
62,72
62,70
67,77
68,76
63,69
66,76
58,72
58,73
69,77
62,70
74,78
60,70
70,77
71,84
62,73
62,73
69,77
59,72
71,81
75,77
57,70
72,77
58,78
57,77
71,78
64,76
75,76
62,73
75,80
61,76
76,76
59,73
76,79
58,75
73,71
60,72
70,77
60,73
69,75
60,75
72,79
73,81
61,67
60,70
76,77
73,76
57,70
61,73
72,75
62,73
79,79
61,73
66,80
61,76
65,75
64,78
76,71
54,69
59,76
75,78
76,76
61,73
71,81
57,75
57,72
74,75
63,74
71,78
60,70
75,78
61,71
75,80
58,70
75,80
59,75
69,76
64,76
74,79
58,73
72,79
59,76
68,76
56,78
72,72
62,72
76,79
57,75
73,80
57,75
73,76
57,70
69,72
55,74
80,67
59,70
83,71
49,72
83,70
59,74
58,73
56,69
57,70
53,75
56,74
57,76
56,74
56,77
78,67
54,79
75,69
60,73
73,69
56,73
73,67
54,73
77,66
79,70
50,77
83,69
52,71
79,72
74,67
55,74
79,70
81,64
74,68
74,71
54,75
79,70
46,73
79,66
80,71
80,69
56,71
84,65
54,73
82,70
56,75
73,65
53,70
79,69
53,74
81,67
53,74
58,73
79,69
56,71
83,68
76,72
54,77
85,64
85,68
59,72
79,69
54,71
95,69
63,72
86,72
62,69
92,67
68,74
95,71
66,77
94,71
67,69
93,71
67,71
96,69
69,72
97,71
67,76
100,69
100,69
70,72
96,73
66,69
91,72
94,77
68,77
87,72
68,72
88,73
67,76
90,73
65,70
91,75
69,71
90,67
67,72
88,71
64,69
82,72
62,73
90,69
62,76
90,72
67,72
86,72
58,76
84,70
59,76
83,70
57,70
74,61
46,73
70,70
47,74
68,68
47,72
71,69
46,73
68,72
40,76
67,71
38,79
44,74
64,67
46,79
40,76
64,67
44,79
66,71
46,77
72,67
45,76
45,77
72,73
43,74
68,63
49,78
68,69
46,71
72,69
43,75
72,67
41,75
66,67
42,74
71,73
41,73
66,65
44,72
67,72
46,77
72,64
47,76
72,70
43,78
63,72
41,73
64,67
46,76
64,73
49,74
82,70
64,71
93,67
64,73
98,64
60,71
91,64
63,70
97,66
67,67
92,70
72,74
97,69
75,67
89,70
66,65
94,69
70,72
93,68
64,69
97,69
66,71
89,62
64,73
95,67
68,74
96,67
61,70
90,73
61,73
91,69
62,67
97,69
77,73
59,76
77,69
59,77
75,73
58,76
82,80
61,80
81,73
57,79
75,70
57,75
80,74
58,78
79,77
59,75
76,68
55,69
79,70
53,71
82,66
49,74
83,68
50,73
84,67
49,73
83,66
52,72
74,65
54,73
78,63
50,73
76,68
54,71
78,65
48,73
79,68
52,77
80,67
44,70
80,67
54,73
79,62
62,67
96,67
98,68
68,72
96,65
64,69
94,71
65,68
94,73
63,66
100,71
66,68
96,69
62,69
94,63
64,71
101,68
92,64
90,68
93,67
62,65
91,69
63,62
95,63
91,69
59,66
83,60
51,72
86,68
55,72
86,62
83,59
54,69
78,63
81,60
48,69
83,62
47,69
76,68
47,78
69,67
45,74
73,71
40,72
78,64
